time_ms,bid,ask,bid_vol,ask_vol
1774976957441,46.25525,46.26225,956016770,956016770
1774976957642,46.25475,46.26165,956016770,956016770
1774976957793,46.25415,46.26105,956016770,956016770
1774976957944,46.25385,46.26085,956016770,956016770
1774976958045,46.25455,46.26155,956016770,956016770
1774976958146,46.25465,46.26155,956016770,956016770
1774976959002,46.25535,46.26235,956016770,956016770
1774976959606,46.25405,46.26105,956016770,956016770
1774976959860,46.25535,46.26225,956016770,956016770
1774976959911,46.25585,46.26285,956016770,956016770
1774976960263,46.25565,46.26255,956016770,956016770
1774976961830,46.25535,46.26225,956016770,956016770
1774976961933,46.25555,46.26245,956016770,956016770
1774976964442,46.25525,46.26225,956016770,956016770
1774976964493,46.25555,46.26255,956016770,956016770
1774976964846,46.25615,46.26305,956016770,956016770
1774976964897,46.25635,46.26335,956016770,956016770
1774976965851,46.25665,46.26355,956016770,956016770
1774976965952,46.25765,46.26455,956016770,956016770
1774976966203,46.25675,46.26365,956016770,956016770
1774976966304,46.25585,46.26275,956016770,956016770
1774976966506,46.25565,46.26255,956016770,956016770
1774976967108,46.25625,46.26325,956016770,956016770
1774976967159,46.25785,46.26485,956016770,956016770
1774976968414,46.25715,46.26405,956016770,956016770
1774976968515,46.25805,46.26495,956016770,956016770
1774976971946,46.25795,46.26495,956016770,956016770
1774976972047,46.25765,46.26455,956016770,956016770
1774976972348,46.26075,46.26765,956016770,956016770
1774976972449,46.26055,46.26755,956016770,956016770
1774976973553,46.26105,46.26795,956016770,956016770
1774976973955,46.26125,46.26825,956016770,956016770
1774976974006,46.26265,46.26965,956016770,956016770
1774976974108,46.26195,46.26885,956016770,956016770
1774976974159,46.26305,46.27005,956016770,956016770
1774976974812,46.26345,46.27035,956016770,956016770
1774976974963,46.26225,46.26915,956016770,956016770
1774976975064,46.26325,46.27015,956016770,956016770
1774976975216,46.26345,46.27045,956016770,956016770
1774976975267,46.26445,46.27145,956016770,956016770
1774976975368,46.26395,46.27095,956016770,956016770
1774976975570,46.26345,46.27035,956016770,956016770
1774976976123,46.26295,46.26995,956016770,956016770
1774976976174,46.26265,46.26955,956016770,956016770
1774976976291,46.26325,46.27015,956016770,956016770
1774976976544,46.26295,46.26995,951893602,956016770
1774976976595,46.26325,46.27025,951893602,956016770
1774976976998,46.26455,46.27155,956016770,956016770
1774976977100,46.26395,46.27095,956016770,956016770
1774976977201,46.26495,46.27185,956016770,956016770
1774976977302,46.26755,46.27352,956016770,956016770
1774976977704,46.26955,46.27655,956016770,956016770
1774976977755,46.26895,46.27585,956016770,956016770
1774976977856,46.26845,46.27545,956016770,956016770
1774976978259,46.26915,46.27605,956016770,956016770
1774976978360,46.27065,46.27752,956016770,956016770
1774976978812,46.27105,46.27795,956016770,956016770
1774976978863,46.27165,46.27865,951893602,956016770
1774976978914,46.27095,46.27785,956016770,956016770
1774976979367,46.27215,46.27905,956016770,956016770
1774976979469,46.27535,46.28152,951893602,956016770
1774976979519,46.27495,46.28152,951893602,956016770
1774976979570,46.27205,46.27895,956016770,956016770
1774976979721,46.27125,46.27825,956016770,956016770
1774976979772,46.27035,46.27725,956016770,956016770
1774976979826,46.27135,46.27835,956016770,956016770
1774976980127,46.27085,46.27652,951893602,956016770
1774976980178,46.26855,46.27555,956016770,956016770
1774976980280,46.26795,46.27495,956016770,956016770
1774976980481,46.26825,46.27515,956016770,956016770
1774976980582,46.26745,46.27435,956016770,956016770
1774976980683,46.26615,46.27305,956016770,956016770
1774976980885,46.26655,46.27345,956016770,956016770
1774976980986,46.26715,46.27405,956016770,956016770
1774976981943,46.26765,46.27465,951893602,956016770
1774976981994,46.26695,46.27395,956016770,956016770
